dia,mp10_0,mp25_0,nox_0,o3_0,i1
2019-10-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-10-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-10-12,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-BAIXA
2019-10-13,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,ALTA
2019-10-14,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,ALTA
2019-10-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-10-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-10-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-10-18,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA
2019-10-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-10-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
